Date,MERVAL,FRAN,TECO2,GGAL,COME,ALUA,APBR,TS,PAMP,EDN,BMA,YPFD,
10/19/2018,28673.279297,123.949997,126.500000,84.150002,3.560000,19.000000,283.000000,584.700012,44.049999,41.500000,137.699997,529.450012,
10/18/2018,28370.449219,123.000000,128.000000,82.800003,3.620000,18.450001,281.250000,588.549988,43.049999,39.599998,134.350006,528.849976,
10/17/2018,28721.369141,123.900002,129.300003,83.800003,3.690000,18.900000,289.450012,594.650024,43.700001,41.000000,135.500000,530.349976,
10/16/2018,29430.589844,127.250000,130.000000,87.949997,3.730000,19.100000,287.350006,598.900024,45.700001,41.950001,141.300003,530.400024,
10/12/2018,29598.179688,129.000000,132.000000,91.400002,3.720000,19.150000,281.450012,599.799988,44.849998,41.799999,148.100006,546.650024,
10/11/2018,27613.089844,119.099998,130.000000,79.349998,3.590000,18.850000,272.399994,599.549988,42.049999,38.599998,133.550003,522.650024,
10/10/2018,28549.769531,124.849998,134.199997,82.650002,3.660000,19.950001,280.799988,626.400024,43.700001,40.000000,135.949997,544.200012,
10/9/2018,29612.449219,129.300003,137.000000,87.349998,3.820000,19.950001,294.700012,645.000000,44.900002,40.049999,144.399994,568.099976,
10/8/2018,30547.130859,139.449997,139.500000,92.949997,3.880000,20.900000,287.399994,638.799988,46.049999,41.500000,156.000000,569.950012,
10/5/2018,30168.720703,140.399994,136.000000,91.400002,3.850000,21.000000,262.149994,641.099976,45.950001,42.400002,155.100006,547.200012,
10/4/2018,30928.830078,147.050003,140.000000,94.800003,4.000000,21.549999,264.399994,661.599976,46.000000,43.900002,156.350006,572.200012,
10/3/2018,32201.470703,155.750000,140.000000,101.400002,4.180000,21.600000,254.350006,656.000000,48.700001,47.349998,165.850006,592.450012,
10/2/2018,32730.380859,158.199997,139.000000,105.900002,4.380000,20.900000,249.750000,651.500000,48.799999,49.200001,168.899994,598.200012,
10/1/2018,32584.939453,156.100006,139.600006,101.750000,4.430000,21.750000,236.300003,680.250000,50.549999,49.750000,166.399994,600.549988,
9/28/2018,33461.769531,160.000000,143.899994,105.650002,4.490000,22.600000,249.050003,695.599976,50.950001,51.299999,172.050003,644.049988,
9/27/2018,33651.328125,160.500000,146.449997,107.400002,4.580000,21.600000,241.750000,668.750000,51.500000,50.400002,175.149994,641.400024,
9/26/2018,33943.281250,158.250000,142.500000,113.099998,4.640000,20.950001,224.100006,657.500000,50.900002,51.450001,182.000000,629.400024,
9/25/2018,34052.621094,157.000000,146.899994,114.349998,4.720000,20.549999,217.899994,660.599976,54.150002,52.950001,180.750000,634.750000,
9/24/2018,33163.609375,143.449997,141.300003,106.099998,4.540000,20.100000,213.100006,621.450012,53.950001,51.500000,174.850006,618.299988,
9/21/2018,34327.121094,150.199997,146.500000,110.949997,4.680000,19.900000,214.250000,610.150024,56.450001,52.650002,181.250000,638.599976,
